,commercial_area_name,commercial_area_code,week,floating_population,total_sales,total_customers
273,망우본동주민센터,3110278,MONDAY,419618.0,3973850009,239688.0
274,북정마을,3110280,MONDAY,155368.0,25609966,1343.0
275,길상사,3110281,MONDAY,37973.0,0,0.0
276,국민대학교앞,3110282,MONDAY,14003.0,365145930,27876.0
277,성북초등학교앞,3110283,MONDAY,94223.0,976246578,31391.0
278,정릉북한산국립공원입구,3110284,MONDAY,51433.0,107179293,2693.0
279,홍대부중,3110285,MONDAY,80871.0,833344986,25651.0
280,한성대입구역 5번,3110286,MONDAY,456084.0,2388840415,90826.0
281,정릉3동주민센터,3110287,MONDAY,122538.0,292477577,17530.0
282,동구여중,3110288,MONDAY,122139.0,1218684943,23401.0
283,북한산보국문역 2번,3110289,MONDAY,736166.0,720396103,50183.0
284,북한산보국문역 1번,3110290,MONDAY,119539.0,147446646,10701.0
285,한성대입구역 3번,3110291,MONDAY,1116490.0,2685234049,145377.0
286,정릉역 2번,3110292,MONDAY,169771.0,499813616,9383.0
287,삼선중학교,3110293,MONDAY,868992.0,2797953021,162199.0
288,서경대학교,3110294,MONDAY,877320.0,2542438520,109689.0
289,정릉우체국,3110295,MONDAY,548898.0,2825938977,167273.0
290,성신여대입구역 4번,3110296,MONDAY,532465.0,2330204315,126824.0
291,경동고등학교,3110297,MONDAY,1348707.0,2412403569,103601.0
292,솔숲어린이공원,3110298,MONDAY,149246.0,32800656,154.0
293,정릉역 1번,3110299,MONDAY,1014756.0,5786985065,280238.0
294,삼선동주민센터,3110300,MONDAY,1674282.0,2204302857,167440.0
295,성신여대입구역 7번,3110301,MONDAY,885459.0,988506928,77745.0
296,보문역 8번,3110302,MONDAY,152257.0,1400468297,80929.0
297,성신여대입구역 1번,3110303,MONDAY,708297.0,1118882422,57377.0
298,보문역 4번,3110304,MONDAY,582756.0,1781274796,180535.0
299,보문역 5번,3110305,MONDAY,1252010.0,1512590260,81933.0
300,미아초등학교,3110306,MONDAY,103265.0,529770420,9038.0
301,길음역 7번,3110307,MONDAY,308968.0,313108136,7027.0
302,길음역 8번,3110308,MONDAY,560565.0,2808255819,128936.0
303,대광초등학교,3110309,MONDAY,130866.0,156720704,3984.0
304,안암역 2번,3110312,MONDAY,358627.0,4400097660,472027.0
305,안암역 3번,3110313,MONDAY,1055486.0,6758509164,437612.0
306,종암경찰서,3110314,MONDAY,411577.0,6965175983,281798.0
307,종암아이파크2차,3110315,MONDAY,840960.0,2305097396,110895.0
308,숭곡초등학교,3110316,MONDAY,1620394.0,5978776528,259776.0
309,종암중학교,3110317,MONDAY,417131.0,1779304743,166341.0
310,KT월곡지사,3110318,MONDAY,847968.0,1866512226,166087.0
311,종암동주민센터,3110319,MONDAY,709398.0,3860253471,161587.0
312,KB국민은행 종암동지점,3110320,MONDAY,105399.0,708584073,77946.0
313,장위1동주민센터,3110322,MONDAY,428394.0,363613841,32318.0
314,상월곡역 1번,3110323,MONDAY,788743.0,1142937296,54193.0
315,장곡초등학교,3110325,MONDAY,636627.0,1549244153,109285.0
316,장위동성당,3110326,MONDAY,236469.0,2613581,39.0
317,상월곡역 2번,3110327,MONDAY,689298.0,3093704030,189341.0
318,상월곡역 3번,3110328,MONDAY,582976.0,885403348,37153.0
319,우리은행체육관,3110329,MONDAY,344451.0,693793844,40971.0
320,돌곶이역 1번,3110330,MONDAY,479632.0,1498139837,11407.0
321,돌곶이역 8번,3110331,MONDAY,758041.0,2832662007,172331.0
322,돌곶이역 3번,3110332,MONDAY,143637.0,362264022,13144.0
323,돌곶이역 5번,3110333,MONDAY,388354.0,2079115164,69106.0
324,석관중앙교회,3110334,MONDAY,1071115.0,2012403672,21964.0
325,석계역 7번,3110335,MONDAY,837148.0,6171795539,241080.0
326,석관고등학교,3110336,MONDAY,207359.0,154614532,6515.0
327,아카데미하우스,3110337,MONDAY,260799.0,1135559859,42822.0
328,인수초등학교,3110338,MONDAY,92863.0,0,0.0
329,국립4.19민주묘지,3110339,MONDAY,16807.0,599669915,13065.0
330,인수중학교,3110340,MONDAY,183883.0,43690942,468.0
331,북한산우이역 2번,3110341,MONDAY,126020.0,1770047140,90363.0
332,국립재활원,3110342,MONDAY,537707.0,177386979,12430.0
333,무너미어린이공원,3110343,MONDAY,408585.0,520779922,14568.0
334,화계중학교,3110344,MONDAY,215713.0,39685453,780.0
335,솔밭공원역 2번,3110345,MONDAY,283392.0,2810426763,165286.0
336,4.19민주묘지역 2번,3110346,MONDAY,570220.0,1315743399,82305.0
337,강북문화예술회관,3110348,MONDAY,1215490.0,1319299990,73957.0
338,화계역 2번,3110349,MONDAY,283391.0,88015963,7231.0
339,가오리역 2번,3110350,MONDAY,343631.0,976883190,33194.0
340,수유북부시장옆,3110351,MONDAY,305627.0,465665973,13805.0
341,수유1동주민센터,3110352,MONDAY,843309.0,2441889093,146162.0
342,수유동우체국,3110353,MONDAY,430314.0,941978120,35899.0
343,삼각산119안전센터,3110354,MONDAY,43570.0,571687640,13742.0
344,삼양사거리역 2번,3110355,MONDAY,801581.0,2826079340,191489.0
345,덕수교,3110356,MONDAY,503519.0,345928879,9817.0
346,가오리역 1번,3110357,MONDAY,611748.0,874646092,36458.0
347,인수동 우편취급국,3110358,MONDAY,527484.0,300187010,11556.0
348,수유시장옆,3110359,MONDAY,758574.0,1013161249,71828.0
349,수유초등학교,3110360,MONDAY,678191.0,1629050929,92873.0
350,삼양사거리역 1번,3110361,MONDAY,607450.0,612178720,38068.0
351,우이천 계성교,3110362,MONDAY,464832.0,1356571869,114110.0
352,송천동주민센터,3110363,MONDAY,153083.0,32964583,791.0
353,미아역 8번,3110364,MONDAY,926860.0,2013099942,85473.0
354,미아역 5번,3110365,MONDAY,1056750.0,1209932293,62540.0
355,광산사거리,3110366,MONDAY,301791.0,851723245,20355.0
356,강북구청,3110367,MONDAY,672743.0,1724737042,71665.0
357,송천초등학교,3110368,MONDAY,1525679.0,502153661,17013.0
358,성신여대운정그린캠퍼스,3110369,MONDAY,711849.0,4031215650,194263.0
359,도봉세무서,3110370,MONDAY,842140.0,2191362429,80606.0
360,삼양입구사거리,3110371,MONDAY,352823.0,2133214272,62812.0
361,강북중학교,3110372,MONDAY,828684.0,1949386436,107203.0
362,수유역 2번,3110373,MONDAY,730931.0,567451897,20555.0
363,송중초등학교,3110374,MONDAY,1485203.0,1075407470,57420.0
364,서울북부고용노동지청,3110375,MONDAY,284010.0,206708600,8305.0
365,수송초등학교,3110376,MONDAY,1736529.0,5080153375,196900.0
366,미아사거리역 3번,3110377,MONDAY,395471.0,861356052,18614.0
367,송중동주민센터,3110378,MONDAY,476956.0,1198004762,78370.0
368,KT&G 북부지사,3110379,MONDAY,102705.0,50326841,2364.0
369,강북문화정보도서관,3110380,MONDAY,315395.0,2557957,113.0
370,번동주공2단지,3110381,MONDAY,227695.0,600559458,26754.0
371,솔밭공원역 1번,3110382,MONDAY,320676.0,466000818,45202.0
372,덕성여대시반거리,3110383,MONDAY,40866.0,1295794111,145174.0
373,연산군묘,3110386,MONDAY,14231.0,240775481,16954.0
374,쌍문초등학교,3110387,MONDAY,864572.0,1725040038,111826.0
375,도봉우체국,3110388,MONDAY,389848.0,1286651179,35958.0
376,한일병원,3110389,MONDAY,227381.0,3971696517,62738.0
377,방학초등학교,3110390,MONDAY,313360.0,2937655074,156591.0
378,샘말어린이공원,3110391,MONDAY,276158.0,349908723,35735.0
379,발바닥공원,3110392,MONDAY,52086.0,4206531826,181623.0
380,국민은행방학지점,3110393,MONDAY,22549.0,2703354007,200995.0
381,방학중학교,3110394,MONDAY,599203.0,4256055864,129414.0
382,신한은행 방학동지점,3110395,MONDAY,221702.0,602194240,16413.0
383,쌍문역1번(쌍리단길),3110396,MONDAY,449161.0,9523628336,607729.0
384,도봉산입구,3110397,MONDAY,808502.0,8958951370,426968.0
385,쌍문2동우체국,3110398,MONDAY,507703.0,5882602641,284562.0
386,창2동주민센터,3110399,MONDAY,1032550.0,3003678763,148528.0
387,도봉구보건소,3110400,MONDAY,768634.0,3031241171,125456.0
388,도봉구민회관,3110401,MONDAY,100718.0,657882651,21511.0
389,도봉구 정병원,3110402,MONDAY,310289.0,1361129710,56988.0
390,방학1동주민센터,3110403,MONDAY,738966.0,3366904516,211971.0
391,신창초등학교,3110404,MONDAY,1724255.0,7004407280,289376.0
392,방학역 1번,3110405,MONDAY,714158.0,8296343121,515989.0
393,도봉산역 1번,3110406,MONDAY,138770.0,2099754983,110366.0
394,도봉역 2번,3110407,MONDAY,579079.0,4449365270,238583.0
395,가인초등학교,3110408,MONDAY,160286.0,2996730715,160379.0
