,commercial_area_name,pop_type,total_population,total_sales
470,대명여울빛거리시장(대명시장),RESIDENT,3080.0,82740506677
471,대명여울빛거리시장(대명시장),WORKING,2302.0,82740506677
472,상도역 5번,RESIDENT,36272.0,82307341079
473,상도역 5번,WORKING,2962.0,82307341079
474,성대전통시장(성대시장),RESIDENT,6724.0,81878917831
475,성대전통시장(성대시장),WORKING,1121.0,81878917831
476,등촌3동주민센터,RESIDENT,6712.0,81287165107
477,등촌3동주민센터,WORKING,17929.0,81287165107
478,성동용답상가시장,RESIDENT,15860.0,81080402669
479,성동용답상가시장,WORKING,1836.0,81080402669
480,동대부고,RESIDENT,12736.0,80331705512
481,동대부고,WORKING,4797.0,80331705512
482,도봉산입구,RESIDENT,27968.0,79176494466
483,도봉산입구,WORKING,1739.0,79176494466
484,신방화역 2번,RESIDENT,23300.0,78935136123
485,신방화역 2번,WORKING,5601.0,78935136123
486,몽촌토성역,RESIDENT,19964.0,78157374898
487,몽촌토성역,WORKING,57916.0,78157374898
488,상계역,RESIDENT,3540.0,77804521579
489,상계역,WORKING,2349.0,77804521579
490,영등포시장역 3번,RESIDENT,1304.0,77787822091
491,영등포시장역 3번,WORKING,274.0,77787822091
492,녹두거리(대학동),RESIDENT,8644.0,76608816338
493,녹두거리(대학동),WORKING,1385.0,76608816338
494,삼청동,RESIDENT,4212.0,75628232909
495,삼청동,WORKING,10846.0,75628232909
496,"남부골목시장(남부화곡시장, 남부시장)",RESIDENT,7892.0,75297790444
497,"남부골목시장(남부화곡시장, 남부시장)",WORKING,2202.0,75297790444
498,개봉동 현대아파트,RESIDENT,13424.0,74604531641
499,개봉동 현대아파트,WORKING,10108.0,74604531641
500,방이시장,RESIDENT,20284.0,74096424928
501,방이시장,WORKING,16094.0,74096424928
502,어린이대공원역,RESIDENT,19680.0,72781747630
503,어린이대공원역,WORKING,1352.0,72781747630
504,까치산시장,RESIDENT,3792.0,72703688857
505,까치산시장,WORKING,1551.0,72703688857
506,홍대소상공인상점가,RESIDENT,1228.0,72595416462
507,홍대소상공인상점가,WORKING,1687.0,72595416462
508,석촌시장,RESIDENT,3596.0,72255634987
509,석촌시장,WORKING,2242.0,72255634987
510,우림골목시장,RESIDENT,8432.0,71395922258
511,우림골목시장,WORKING,1132.0,71395922258
512,강동역 4번(강풀만화거리),RESIDENT,40828.0,71223272991
513,강동역 4번(강풀만화거리),WORKING,3014.0,71223272991
514,수락산역 4번,RESIDENT,20032.0,71189764429
515,수락산역 4번,WORKING,7507.0,71189764429
516,삼전역 4번,RESIDENT,41128.0,70614844547
517,삼전역 4번,WORKING,9012.0,70614844547
518,봉은사역,RESIDENT,2440.0,70348441211
519,봉은사역,WORKING,114990.0,70348441211
520,길동주민센터(강동도서관),RESIDENT,43688.0,70209656421
521,길동주민센터(강동도서관),WORKING,5120.0,70209656421
522,"중곡제일시장(중곡제일골목시장, 광성시장)",RESIDENT,3288.0,69865799423
523,"중곡제일시장(중곡제일골목시장, 광성시장)",WORKING,2941.0,69865799423
524,샤로수길,RESIDENT,33740.0,69542796892
525,샤로수길,WORKING,11346.0,69542796892
526,목동사거리,RESIDENT,9608.0,69515275180
527,목동사거리,WORKING,5768.0,69515275180
528,목동깨비시장(목3동시장),RESIDENT,4772.0,69501415662
529,목동깨비시장(목3동시장),WORKING,2088.0,69501415662
530,송화벽화시장(송화골목시장),RESIDENT,2512.0,69201220668
